,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
13467,99191,99192,〔5191｜5｜10｜4〕,<H>מִּכְתָּ֣ב<h><H> <h>,4385,כתב
55374,394905,394906,〔10533｜13｜6｜78〕,<H>מִגְרָשֶֽׁיהָ<h><H>׃ <h>,4054,גרשׁ
28747,225177,225178,〔18400｜23｜38｜9〕,<H>מִכְתָּ֖ב<h><H> <h>,4385,כתב
44351,328633,328634,〔15614｜19｜105｜7〕,<H>מִשְׁפָּטָֽיו<h><H>׃ <h>,4941,שׁפט
26683,212188,212189,〔17662｜23｜1｜7〕,<H>מַהְפֵּכַ֥ת<h><H> <h>,4114,הפכ
38159,290493,290494,〔21718｜26｜48｜15〕,<H>מִגְרָ֑שׁ<h><H> <h>,4054,גרשׁ
49884,360990,360991,〔17406｜21｜5｜8〕,<H>מִשְׁפָּ֤ט<h><H> <h>,4941,שׁפט
58199,417528,417529,〔11655｜14｜22｜10〕,<H>מַּמְלָכָ֖ה<h><H> <h>,4467,מלכ
12116,88251,88252,〔4630｜4｜29｜21〕,<H>מִּשְׁפָּֽט<h><H>׃ <h>,4941,שׁפט
34600,269055,269056,〔20668｜26｜11｜12〕,<H>מִשְׁפְּטֵ֧י<h><H> <h>,4941,שׁפט
33434,261391,261392,〔20142｜24｜49｜14〕,<H>מִּלְחָמָֽה<h><H>׃ <h>,4421,לחמ
19291,148763,148764,〔7529｜9｜14｜20〕,<H>מִּלְחָמָ֑ה<h><H> <h>,4421,לחמ
12509,91293,91294,〔4813｜4｜33｜52〕,<H>מַסֵּֽכֹתָם֙<h><H> <h>,4541,נסכ
43056,321512,321513,〔14927｜19｜68｜26〕,<H>מַקְהֵלֹות<h><H> <h>,4721,קהל
11244,81460,81461,〔4265｜4｜18｜7〕,<H>מַתָּנָ֗ה<h><H> <h>,4979,נתנ
44224,327942,327943,〔15544｜19｜102｜22〕,<H>מַמְלָכֹ֗ות<h><H> <h>,4467,מלכ
7006,52410,52411,〔2741｜2｜40｜33〕,<H>מִּשְׁכָּ֣ן<h><H> <h>,4908,שׁכנ
10620,75782,75783,〔3968｜4｜9｜2〕,<H>מֹועֲדֹֽו<h><H>׃ <h>,4150,יעד
58618,421082,421083,〔11798｜14｜29｜6〕,<H>מִּשְׁכַּ֥ן<h><H> <h>,4908,שׁכנ
59174,425644,425645,〔11979｜14｜35｜12〕,<H>מִפְלַגֹּ֤ות<h><H> <h>,4653,פלג
37717,288518,288519,〔21635｜26｜45｜4〕,<H>מִּקְדָּשׁ֙<h><H> <h>,4720,קדשׁ
7617,56185,56186,〔2927｜3｜8｜9〕,<H>מִּצְנֶ֖פֶת<h><H> <h>,4701,צנפ
55332,394479,394480,〔10510｜13｜6｜55〕,<H>מִגְרָשֶׁ֖יהָ<h><H> <h>,4054,גרשׁ
10639,75906,75907,〔3973｜4｜9｜7〕,<H>מֹ֣עֲדֹ֔ו<h><H> <h>,4150,יעד
15089,111486,111487,〔5763｜5｜32｜4〕,<H>מִשְׁפָּ֑ט<h><H> <h>,4941,שׁפט
3340,27406,27407,〔1458｜1｜48｜6〕,<H>מֹולַדְתְּךָ֛<h><H> <h>,4138,ילד
6195,48653,48654,〔2543｜2｜35｜11〕,<H>מִּשְׁכָּ֔ן<h><H> <h>,4908,שׁכנ
